bike_usage,hour,region,subzone
1766,2023-01-04 14:00:00,lower_west_manhattan,NW
1964,2023-01-04 15:00:00,lower_west_manhattan,NW
1478,2023-01-04 16:00:00,lower_west_manhattan,NW
1655,2023-01-04 17:00:00,lower_west_manhattan,NW
2027,2023-01-04 18:00:00,lower_west_manhattan,NW
1441,2023-01-04 19:00:00,lower_west_manhattan,NW
947,2023-01-04 20:00:00,lower_west_manhattan,NW
733,2023-01-04 21:00:00,lower_west_manhattan,NW
672,2023-01-04 22:00:00,lower_west_manhattan,NW
410,2023-01-04 23:00:00,lower_west_manhattan,NW
180,2023-01-05 00:00:00,lower_west_manhattan,NW
97,2023-01-05 01:00:00,lower_west_manhattan,NW
67,2023-01-05 02:00:00,lower_west_manhattan,NW
47,2023-01-05 03:00:00,lower_west_manhattan,NW
61,2023-01-05 04:00:00,lower_west_manhattan,NW
294,2023-01-05 05:00:00,lower_west_manhattan,NW
759,2023-01-05 06:00:00,lower_west_manhattan,NW
1396,2023-01-05 07:00:00,lower_west_manhattan,NW
2209,2023-01-05 08:00:00,lower_west_manhattan,NW
1633,2023-01-05 09:00:00,lower_west_manhattan,NW
1093,2023-01-05 10:00:00,lower_west_manhattan,NW
1094,2023-01-05 11:00:00,lower_west_manhattan,NW
1125,2023-01-05 12:00:00,lower_west_manhattan,NW
1260,2023-01-05 13:00:00,lower_west_manhattan,NW
1401,2023-01-05 14:00:00,lower_west_manhattan,NW
1637,2023-01-05 15:00:00,lower_west_manhattan,NW
1836,2023-01-05 16:00:00,lower_west_manhattan,NW
2523,2023-01-05 17:00:00,lower_west_manhattan,NW
2160,2023-01-05 18:00:00,lower_west_manhattan,NW
1603,2023-01-05 19:00:00,lower_west_manhattan,NW
1077,2023-01-05 20:00:00,lower_west_manhattan,NW
807,2023-01-05 21:00:00,lower_west_manhattan,NW
599,2023-01-05 22:00:00,lower_west_manhattan,NW
398,2023-01-05 23:00:00,lower_west_manhattan,NW
230,2023-01-06 00:00:00,lower_west_manhattan,NW
108,2023-01-06 01:00:00,lower_west_manhattan,NW
23,2023-01-06 02:00:00,lower_west_manhattan,NW
26,2023-01-06 03:00:00,lower_west_manhattan,NW
45,2023-01-06 04:00:00,lower_west_manhattan,NW
213,2023-01-06 05:00:00,lower_west_manhattan,NW
592,2023-01-06 06:00:00,lower_west_manhattan,NW
858,2023-01-06 07:00:00,lower_west_manhattan,NW
1317,2023-01-06 08:00:00,lower_west_manhattan,NW
1129,2023-01-06 09:00:00,lower_west_manhattan,NW
796,2023-01-06 10:00:00,lower_west_manhattan,NW
938,2023-01-06 11:00:00,lower_west_manhattan,NW
1115,2023-01-06 12:00:00,lower_west_manhattan,NW
1383,2023-01-06 13:00:00,lower_west_manhattan,NW
1406,2023-01-06 14:00:00,lower_west_manhattan,NW
1650,2023-01-06 15:00:00,lower_west_manhattan,NW
1966,2023-01-06 16:00:00,lower_west_manhattan,NW
2183,2023-01-06 17:00:00,lower_west_manhattan,NW
1983,2023-01-06 18:00:00,lower_west_manhattan,NW
1484,2023-01-06 19:00:00,lower_west_manhattan,NW
934,2023-01-06 20:00:00,lower_west_manhattan,NW
640,2023-01-06 21:00:00,lower_west_manhattan,NW
648,2023-01-06 22:00:00,lower_west_manhattan,NW
555,2023-01-06 23:00:00,lower_west_manhattan,NW
405,2023-01-07 00:00:00,lower_west_manhattan,NW
292,2023-01-07 01:00:00,lower_west_manhattan,NW
242,2023-01-07 02:00:00,lower_west_manhattan,NW
138,2023-01-07 03:00:00,lower_west_manhattan,NW
81,2023-01-07 04:00:00,lower_west_manhattan,NW
69,2023-01-07 05:00:00,lower_west_manhattan,NW
158,2023-01-07 06:00:00,lower_west_manhattan,NW
282,2023-01-07 07:00:00,lower_west_manhattan,NW
551,2023-01-07 08:00:00,lower_west_manhattan,NW
841,2023-01-07 09:00:00,lower_west_manhattan,NW
1144,2023-01-07 10:00:00,lower_west_manhattan,NW
1523,2023-01-07 11:00:00,lower_west_manhattan,NW
1723,2023-01-07 12:00:00,lower_west_manhattan,NW
1607,2023-01-07 13:00:00,lower_west_manhattan,NW
1651,2023-01-07 14:00:00,lower_west_manhattan,NW
1553,2023-01-07 15:00:00,lower_west_manhattan,NW
1566,2023-01-07 16:00:00,lower_west_manhattan,NW
1381,2023-01-07 17:00:00,lower_west_manhattan,NW
1154,2023-01-07 18:00:00,lower_west_manhattan,NW
1003,2023-01-07 19:00:00,lower_west_manhattan,NW
805,2023-01-07 20:00:00,lower_west_manhattan,NW
539,2023-01-07 21:00:00,lower_west_manhattan,NW
547,2023-01-07 22:00:00,lower_west_manhattan,NW
483,2023-01-07 23:00:00,lower_west_manhattan,NW
