hour_sin,hour_cos,day_of_week,month,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_main
1.2246467991473532e-16,-1.0,0,1,7.78,10000.0,3.44,5.26,6.08,8.86,1020,74,4.02,360,6.71,0.0,0.0,0.0,0.0,100,Clouds
-0.2588190451025208,-0.9659258262890683,0,1,7.91,10000.0,3.18,5.94,6.66,9.64,1020,72,3.1,280,0.0,0.0,0.0,0.0,0.0,0,Clear
-0.4999999999999997,-0.8660254037844388,0,1,7.82,1200.0,3.48,5.31,6.19,9.56,1021,74,4.02,360,6.71,0.0,0.0,0.0,0.0,0,Clear
-0.7071067811865471,-0.7071067811865479,0,1,9.08,10000.0,4.11,6.86,8.31,10.24,1021,71,4.02,360,5.81,0.0,0.0,0.0,0.0,0,Clear
-0.8660254037844384,-0.5000000000000004,0,1,10.08,10000.0,4.66,8.95,8.86,11.2,1020,69,2.6,310,0.0,0.0,0.0,0.0,0.0,0,Clear
-0.9659258262890683,-0.25881904510252063,0,1,11.84,10000.0,5.48,10.78,11.08,12.75,1020,65,1.54,0,,0.0,0.0,0.0,0.0,0,Clear
-1.0,-1.8369701987210297e-16,0,1,12.76,10000.0,5.67,11.71,11.64,13.86,1019,62,3.1,0,0.0,0.0,0.0,0.0,0.0,0,Clear
-0.9659258262890684,0.2588190451025203,0,1,12.9,10000.0,5.8,11.86,11.53,13.86,1019,62,3.1,180,0.0,0.0,0.0,0.0,0.0,20,Clouds
-0.8660254037844386,0.5000000000000001,0,1,12.82,10000.0,5.73,11.78,11.19,13.86,1019,62,4.92,360,6.71,0.0,0.0,0.0,0.0,0,Clear
-0.7071067811865477,0.7071067811865474,0,1,12.39,10000.0,6.22,11.41,11.08,13.54,1020,66,3.1,190,0.0,0.0,0.0,0.0,0.0,40,Clouds
